Título,Resumen,Etiquetas,Enlace
hello goodbye ('twas nice to know you),"Draco Malfoy thinks he might know whose thoughts are scrawling themselves on his skin, but that's crazy. Impossible, even. It has to be a mistake.-Self-indulgent soulmate AU where the thoughts of your soulmate inscribe themselves on your skin in a shifting magic tattoo","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Blaise Zabini, Dean Thomas, Seamus Finnigan, Ensemble, Soulmate-Identifying Marks, Alternate Universe - Soulmates, finally finished this holy hell, Fluff, seriously so much fluff, Hogwarts Eighth Year, Spanish Translation, 中文翻译 | Translation in Chinese, Перевод на русский | Translation in Russian, Korean Translation",https://archiveofourown.org/works/4371455#kudos
Harry Potter and the Shadowed Light,Resumen no encontrado,"Mature, No Archive Warnings Apply, M/M, F/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter/Voldemort, Harry Potter & Neville Longbottom, Sirius Black/Severus Snape, Lucius Malfoy/Narcissa Black Malfoy, Luna Lovegood & Harry Potter, Draco Malfoy & Harry Potter, Harry Potter, Tom Riddle | Voldemort, Kreacher (Harry Potter), Ron Weasley, Ginny Weasley, Molly Weasley, Arthur Weasley, Hermione Granger, Severus Snape, Albus Dumbledore, Death (Harry Potter), Sirius Black, Remus Lupin, Draco Malfoy, Lucius Malfoy, Narcissa Black Malfoy, George Weasley, Fred Weasley, Neville Longbottom, Luna Lovegood, Minerva McGonagall, Filius Flitwick, Hannah Abbott, Susan Bones, Blaise Zabini, Pansy Parkinson, Goblins (Harry Potter), Manipulative Dumbledore, Evil Dumbledore, Weasley Bashing, Dark Harry, Good Death Eaters, Good Voldemort, Time Travel, Master of Death Harry Potter, Ravenclaw, Ravenclaw Harry, Do-Over, Independent Harry, Smart Harry, Master of Death, Soul Bond, Hermione Granger Bashing, BAMF!Harry, Time Travel Fix-It, Dumbledore Bashing, Slow Build, Alternate Universe - Canon Divergence, BAMF!Goblins, Good Tom Riddle, Immortal Harry, The Deathly Hallows, Sane Voldemort, Sane Tom Riddle, Good Malfoy Family, Harry Potter is a Horcrux, It may have taken 190000 words but Toms finally back!, Manipulative Albus Dumbledore, Ron Weasley Bashing, Molly Weasley Bashing, Ginny Weasley Bashing, Slow To Update, Sirius Black Lives, Slow Burn",https://archiveofourown.org/works/10404927/chapters/138812188
The Right Thing To Do,"Hermione felt the pounding in her ears again. She would see him for the first time since the Great Hall, gaunt and stricken at the Slytherin table with his mother clutching his arm. She hadn't meant to look for him. Not in the corridors, not beneath the white sheets of the fallen, not on the way to the Chamber of Secrets with Ron, but she was a stupid girl.","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Harry Potter, Ginny Weasley, Narcissa Black Malfoy, Lucius Malfoy, Ron Weasley, Angst, Unrequited, Eventual Romance, Unresolved Sexual Tension, Post-Canon, HP: EWE, Slow Burn, Blackmail, Pining, Sexual Content, brief mentions of sexual slavery, Co-workers, Idiots in Love, secret feelings",https://archiveofourown.org/works/11472648?show_comments=true&view_full_work=true#comments
Tea and No Sympathy,"It's Potter's fault, of course, that Draco finds himself trapped in the same twenty-four-hour period, repeating itself over and over again. It's been nearly a year since the unpleasant business at Hogwarts, and Draco's getting on with his life quite nicely, thank you, until Harry sodding Potter steps in and ruins it all, just like always. At first, though, the time loop seems liberating. For the first time in his life, he can do anything, say anything, be anything, without consequence. But the more Draco repeats the day, the more he realises the uncomfortable truth: he's falling head over heels for the speccy git. And suddenly, the time loop feels like a trap. For how can he ever get Harry to love him back when time is, quite literally, against him?","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Narcissa Malfoy, Lucius Malfoy, Hermione Granger, Ron Weasley, Aberforth Dumbledore, Rubeus Hagrid, Buckbeak, Justin Finch-Fletchley, Ernie Macmillan, Terence Higgs, Minerva McGonagall, Giant Squid (Harry Potter), Slow Build, Draco-centric, Tea Drinking, Swearing, Muggle London, Houses of Parliament, Malfoy Manor, flangst, Family Feels, Muggle/Wizard Relations, Coming Out, Heartfelt Conversations, Sarcastic Conversations, Owls, Competitive Card Games, Falling In Love, getting drunk, Enthusiastic Snogging, Hogwarts Castle, Sex In The Slytherin Dormitory, Frottage, Time Travel, Time Loop, HP: EWE",https://archiveofourown.org/works/2734082?view_full_work=true#kudos
Lily's Boy,"Before his third year of Hogwarts has even begun, Harry faces three whole weeks of unsupervised time in Diagon Alley. In that time he takes a trip to Gringotts - and that changes everything.Burdened with the knowledge that Dumbledore has been blocking his family magic, and manipulating far more than he ever thought possible, Harry doesn't know who he can trust; but he knows he can't keep going that way. There's a whole world of lore and politics and history to catch up on, and the more he learns, the more Harry realises his true place in the world, and how much is being kept hidden from him. All the while, Dumbledore's twinkling eyes are constantly watching, and Harry can't let on how much he knows.With help from unexpected places, Harry starts on a journey to end the war, and reshape the wizarding world. With how much he looks like James Potter, people have forgotten one important thing about him - he is Lily Evans' son, and she was one hell of a witch.","Explicit, Underage Sex, F/F, F/M, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Remus Lupin/Severus Snape, Neville Longbottom/Ginny Weasley, Sirius Black/Charlie Weasley, Harry Potter, Draco Malfoy, Neville Longbottom, Remus Lupin, Severus Snape, Sirius Black, Susan Bones, AU from PoA, Powerful Harry Potter, Manipulative Albus Dumbledore, Political Harry Potter, Not Molly/Ron/Hermione friendly, Implied/Referenced Child Abuse, Tropes, More tags to follow, Canonical Character Death, Non-Canonical Character Death, Semi sentient Hogwarts, Nonbinary Character, Harry Potter Gets the Love He Deserves",https://archiveofourown.org/works/30856244
My Time,"Harry Potter finds himself hurtled back through time, landing back to just after World War 2 ended, more accurately, on the doorstep of Grimmauld Place...SLASH, MPREG Orion Black/Harry Potter Death meddles in the Master Of Death's fate once again...he must be awfully bored!","Teen And Up Audiences, No Archive Warnings Apply, F/M, M/M, Harry Potter - J. K. Rowling, Orion Black/Harry Potter, Melania MacMillian Black/Arcturus Black, Hesper Gamp Black/Sirius Black II, Harry Potter, Orion Black, Arcturus Black, Melania Macmillan Black, Sirius Black, Hesper Black, Carina Black, Walburga Black, Dorea Black Potter, Charlus Potter, Fleamont Potter, Cygnus Black, All The Black's, Abraxas Malfoy, Mpreg, Time Travel",https://archiveofourown.org/works/27964796
Hermione Granger's Hogwarts Crammer for Delinquents on the Run,"'You're a wizard, Harry' is easier to hear from a half-giant when you're eleven, rather than from some kids on a tube platform when you're seventeen and late for work.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Harry Potter, Draco Malfoy, Hermione Granger, Ron Weasley, Luna Lovegood, Ginny Weasley, Neville Longbottom, Pining, Humor, Hijinks & Shenanigans, Alternate Universe - Canon Divergence, Friendship",https://archiveofourown.org/works/7331278?view_full_work=true#kudos
that’s the art of getting by,"“What do you want me to do?” Remus says, tiredly. All he wants is to curl up on his bed. Smoke a pack of cigarettes. Get drunk. He can’t stop looking at Harry. “Remus...” Dumbledore is gentle. Remus hates when he has that tone. Hates that he knows it will hurt. “There is no one else left.” A bitter laugh escapes him. “So you’ll curse the poor thing with a werewolf for a guardian?”","Mature, No Archive Warnings Apply, Gen, M/M, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, Remus Lupin, Sirius Black, Harry Potter, Molly Weasley, Minerva McGonagall, Albus Dumbledore, Arthur Weasley, Post-Marauders Era (Harry Potter), Post-First War with Voldemort, Raising Harry Potter, POV Remus Lupin, Remus Lupin Raises Harry Potter, Alternate Universe - Canon Divergence, Depression, Sirius Black Free from Azkaban, Sirius Black and Remus Lupin Raise Harry Potter, Slow Build, Marauders Era (Harry Potter), Implied/Referenced Child Abuse, First War with Voldemort, Alternate Universe, Unhealthy Coping Mechanisms, Angst, Angst with a Happy Ending",https://archiveofourown.org/works/27300139
survival is a talent,Resumen no encontrado,"Teen And Up Audiences, Creator Chose Not To Use Archive Warnings, Gen, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Ron Weasley, Hermione Granger, Blaise Zabini, Millicent Bulstrode, Lucius Malfoy, Narcissa Black Malfoy, Ginny Weasley, Remus Lupin, Sirius Black, Soulmate AU, Indian Harry Potter, Black Hermione Granger, canon? i don't know her, Slow Build, Lucius Malfoy is a bad person but a good father, Parselmouth Harry Potter, Smart Draco Malfoy, I'm offended that's a tag OF COURSE he's smart, sometimes bad things happen, but this fic isn't out to hurt you, Secret Relationship, Slytherins and Gryffindors being reluctant friends, Plotty, suprising lack of focus on soulmates for a soulmate au",https://archiveofourown.org/works/12006417/chapters/149901118
the family evans,"What if, when Petunia Dursley found a little boy on her front doorstep, she took him in? Not into the cupboard under the stairs, not into a twisted childhood of tarnished worth and neglect—what if she took him in?Petunia was jealous, selfish and vicious. We will not pretend she wasn’t. She looked at that boy on her doorstep and thought about her Dudders, barely a month older than this boy. She looked at his eyes and her stomach turned over and over. (Severus Snape saved Harry’s life for his eyes. Let’s have Petunia save it despite them).Let’s tell a story where Petunia Dursley found a baby boy on her doorstep and hated his eyes—she hated them. She took him in and fed him and changed him and got him his shots, and she hated his eyes up until the day she looked at the boy and saw her nephew, not her sister’s shadow. When Harry was two and Vernon Dursley bought Dudley a toy car and Harry a fast food meal with a toy with parts he could choke on Petunia packed her things and got a divorce.","Not Rated, Creator Chose Not To Use Archive Warnings, Gen, Harry Potter - J. K. Rowling, Petunia Evans Dursley & Harry Potter, Petunia Evans Dursley & Lily Evans Potter, Petuna Evans Dursley & Remus Lupin, Dudley Dursley & Harry Potter, Petunia Evans Dursley, Harry Potter, Dudley Dursley, What-If, Family",https://archiveofourown.org/works/3073562?show_comments=true#comments
