Título,Resumen,Etiquetas,Enlace
Harry Potter and the Greatest Show,The last real thing Harry remembers is standing across from Voldemort and watching the killing curse fly at his face.Then he visited a fluffy white limbo that somewhat resembles King Cross Station and instead of choosing to move on or go  back he does something else entirely.And wakes up in his cupboard on the morning of Dudley's eleventh birthday.Because that makes sense.(No. No it doesn't.)But Harry is going to roll with it anyway.,"Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter/Tom Riddle | Voldemort, Harry Potter, Albus Dumbledore, Tom Riddle | Voldemort, Sirius Black, Remus Lupin, Ron Weasley, Hermione Granger, Severus Snape, Draco Malfoy, Neville Longbottom, Hannah Abbott, Susan Bones, Blaise Zabini, Mandy Brocklehurst, do not copy to another site, Time Travel, Master of Death Harry Potter, Slytherin Harry Potter, Harry living his own life, Harry has no idea what he is doing, but he tries, Moral Ambiguity, Gray Harry, Neutral Harry, Manipulative Albus Dumbledore, but he also tries, it just doesnt work out the way he wants, Slytherins are people too, Work In Progress, irregular updates, Post-Traumatic Stress Disorder - PTSD, Implied/Referenced Child Abuse, Magically Powerful Harry Potter, Paganism, Pagan Festivals, papa snape, Slow Burn, But does it count as slow burn if we are just waiting for Harry to grow up, no beta we die like men, monstrously long fic, seriously, the sort of fic where you sink up to your eyeballs and marinate for a while, it is 120k words before Harry and Tom even talk, this started out as crack but then it got serious, The Author Regrets Nothing",https://archiveofourown.org/works/15087428?show_comments=true&view_full_work=true#comments
Slithering,"Draco found the nest down in the Manor’s cellars, while he was clearing them out.","Explicit, Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Narcissa Black Malfoy, Lucius Malfoy, Hermione Granger, Andromeda Black Tonks, Post-War, aftermath of war, Reconciliation, Courtship, Snakes",https://archiveofourown.org/works/7548181
Draco Malfoy and the Mirror of Ecidyrue,Resumen no encontrado,"Teen And Up Audiences, No Archive Warnings Apply, Gen, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy & Severus Snape, Hermione Granger & Draco Malfoy, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Severus Snape, Lucius Malfoy, Dobby (Harry Potter), Time Travel, Slow Burn, Hermione Granger & Draco Malfoy Friendship, Fluff and Angst, Snarky Draco Malfoy, Abuse, Post-Traumatic Stress Disorder - PTSD, Slightly unreliable narrator, Character Study",https://archiveofourown.org/works/23872387/chapters/59071354
Lily's Boy,"Before his third year of Hogwarts has even begun, Harry faces three whole weeks of unsupervised time in Diagon Alley. In that time he takes a trip to Gringotts - and that changes everything.Burdened with the knowledge that Dumbledore has been blocking his family magic, and manipulating far more than he ever thought possible, Harry doesn't know who he can trust; but he knows he can't keep going that way. There's a whole world of lore and politics and history to catch up on, and the more he learns, the more Harry realises his true place in the world, and how much is being kept hidden from him. All the while, Dumbledore's twinkling eyes are constantly watching, and Harry can't let on how much he knows.With help from unexpected places, Harry starts on a journey to end the war, and reshape the wizarding world. With how much he looks like James Potter, people have forgotten one important thing about him - he is Lily Evans' son, and she was one hell of a witch.","Explicit, Underage Sex, F/F, F/M, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Remus Lupin/Severus Snape, Neville Longbottom/Ginny Weasley, Sirius Black/Charlie Weasley, Harry Potter, Draco Malfoy, Neville Longbottom, Remus Lupin, Severus Snape, Sirius Black, Susan Bones, AU from PoA, Powerful Harry Potter, Manipulative Albus Dumbledore, Political Harry Potter, Not Molly/Ron/Hermione friendly, Implied/Referenced Child Abuse, Tropes, More tags to follow, Canonical Character Death, Non-Canonical Character Death, Semi sentient Hogwarts, Nonbinary Character, Harry Potter Gets the Love He Deserves",https://archiveofourown.org/works/30856244?show_comments=true&view_full_work=true#comments
The Cadence of Part-time Poets,"“They’re… chaos,” Remus said firmly. “And chaos is—”“Rock and roll.”He looked at Sirius sharply, and for once, matched his grin. “Yeah.”“Maybe that’s my excuse then,” Sirius said. “I cause a bit of chaos now, and maybe one day, it’ll turn into rock and roll.”After losing his mother at age eleven, Remus has spent the better part of the last four years bouncing from school to school or else running around London and pretending as though he wasn't the kind of well-bred boy his father brought him up to be. Now, with his chances all run out, Remus is sent to Hawkings Independent School as a last-ditch effort to clean up his act. There he meets the very people who will set up the rest of his life, and is forced to confront the pieces of himself he'd long thought had been lost.(genuinely not apologising for the slow-burn in this fic anymore. You've been warned <3)","Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Remus Lupin, Sirius Black, James Potter, Peter Pettigrew, Lily Evans Potter, Mary Macdonald, Marlene McKinnon, Minerva McGonagall, Lyall Lupin, Severus Snape, Regulus Black, Dorcas Meadowes, Original Characters, Alternate Universe - Boarding School, Alternate Universe - Rock Band, Band Fic, Marauders Era (Harry Potter), Marauders, wolfstar, jily, POV Remus Lupin, Muggle AU, Recreational Drug Use, Bisexual Remus Lupin, Gay Sirius Black, Lesbian Marlene McKinnon, Hurt/Comfort, Angst with a Happy Ending, Alternate Universe - Muggle, Boarding School, Aromantic Mary Macdonald, Mental Health Issues, Coming of Age, Remus has undiagnosed BPD/Bipolar II Disorder, And experiences intrusive thoughts, But it does not take over the entire fic, Slow Burn, It’s a slow burn. Slow fucking burn. Please take this to heart I mean it, But Remus is taller",https://archiveofourown.org/works/30652973?view_full_work=true#kudos
Storm in a Teacup,"For reasons he'd rather not think about, Draco is obsessed with Potter's hair. This cannot end well.","Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Hogwarts Eighth Year, Humor, Romance, Fluff",https://archiveofourown.org/works/485218#kudos
The Devil's White Knight,"When Harry wakes up in an alternate timeline--a timeline where Voldemort was defeated long before the first war--he discovers everything is different.  His parents, his godfather, his friends--and him.  Harry must deal with the consequences of who he would have been if he had been raised by his parents, and figure out where he stands with his casual hook up, Draco Malfoy.","Explicit, Creator Chose Not To Use Archive Warnings, F/F, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Sirius Black/Remus Lupin, Regulus Black/James Potter, Hermione Granger/Viktor Krum, Harry Potter, Draco Malfoy, Sirius Black, Remus Lupin, Regulus Black, James Potter, Nymphadora Tonks, Fleur Delacour, Ron Weasley, Hermione Granger, Teddy Lupin, Alternate Universe- Time Travel, No Voldemort, Alternate Timeline, Everyone lives, past James/Lily - Freeform, Past canon relationships mentions, Enemies to Lovers, Time Travel, PTSD, Post-War Trauma, Unspeakables, Tonks/Fleur - Freeform, Lily/Marlene, Fluff, Friends With Benefits, past George/Harry",https://archiveofourown.org/works/6854605?show_comments=true&view_full_work=true#comments
punch-drunk fingerprints,"In a world where every touch of a soulmate leaves a temporary heat mark on bare skin, Draco Malfoy suddenly finds his life devolving into a massive cliche because the Boy Who Lived Twice has no idea how to respect the personal space bubble.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, I Don't Even Know, Fluff, First Kiss, Soulmate-Identifying Marks, Alternate Universe - Soulmates, Hogwarts Eighth Year, This Is STUPID, draco secretly reads soulmate romance novels, Перевод на русский | Translation in Russian, Spanish Translation, 中文翻译 | Translation in Chinese, Korean Translation",https://archiveofourown.org/works/5684710?show_comments=true#comments
Dangerous,"Being trapped in a dungeon with Malfoy — who's a werewolf, a former Death Eater, and a giant git — is definitely dangerous. Harry has no reason to be excited. None at all.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Knotting, Trapped, Post-Hogwarts, Auror Harry, Werewolves, Werewolf Draco, Scent Kink, Size Kink, Animal Instincts",https://archiveofourown.org/works/1704125#kudos
The Cadence of Part-time Poets,"“They’re… chaos,” Remus said firmly. “And chaos is—”“Rock and roll.”He looked at Sirius sharply, and for once, matched his grin. “Yeah.”“Maybe that’s my excuse then,” Sirius said. “I cause a bit of chaos now, and maybe one day, it’ll turn into rock and roll.”After losing his mother at age eleven, Remus has spent the better part of the last four years bouncing from school to school or else running around London and pretending as though he wasn't the kind of well-bred boy his father brought him up to be. Now, with his chances all run out, Remus is sent to Hawkings Independent School as a last-ditch effort to clean up his act. There he meets the very people who will set up the rest of his life, and is forced to confront the pieces of himself he'd long thought had been lost.(genuinely not apologising for the slow-burn in this fic anymore. You've been warned <3)","Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, James Potter/Lily Evans Potter, Remus Lupin, Sirius Black, James Potter, Peter Pettigrew, Lily Evans Potter, Mary Macdonald, Marlene McKinnon, Minerva McGonagall, Lyall Lupin, Severus Snape, Regulus Black, Dorcas Meadowes, Original Characters, Alternate Universe - Boarding School, Alternate Universe - Rock Band, Band Fic, Marauders Era (Harry Potter), Marauders, wolfstar, jily, POV Remus Lupin, Muggle AU, Recreational Drug Use, Bisexual Remus Lupin, Gay Sirius Black, Lesbian Marlene McKinnon, Hurt/Comfort, Angst with a Happy Ending, Alternate Universe - Muggle, Boarding School, Aromantic Mary Macdonald, Mental Health Issues, Coming of Age, Remus has undiagnosed BPD/Bipolar II Disorder, And experiences intrusive thoughts, But it does not take over the entire fic, Slow Burn, It’s a slow burn. Slow fucking burn. Please take this to heart I mean it, But Remus is taller",https://archiveofourown.org/works/30652973?show_comments=true&view_full_work=true#comments
